Access;Gestor de bases de datos, realizado por Microsoft.
Interfaz;Conexion de un ordenador con el exterior, o entre dos dispositivos.
Internet;Red de ordenadores a nivel mundial. Ofrece distintos servicios, como el envio y recepcion de correo electronico (e-mail), la posibilidad de ver informacion en las paginas Web, de participar en foros de discusion (News), de enviar y recibir ficheros mediante FTP, de charlar en tiempo real mediante IRC, etc.
Interprete;Ver compilador.
Interrupcion;Cuando un procesador esta esperando recibir informacion de un cierto dispositivo externo, tiene dos formas basicas de hacerlo;mirando continuamente si hay informacion disponible (modo de espera o modo "polling"), o dejando la posibilidad de que sea el dispositivo el que avise cuando la tenga preparada (modo interrupcion). Suele haber varios (pocos) canales de interrupcion, asi como distintos niveles de prioridades.
Inyeccion;(o inkjet, o de "chorro de tinta") tipo de impresora cuyo funcionamiento se basa en disparar sobre el papel minusculas gotas de tinta, que forman las imagenes o el texto.
I/O;Entrada/salida (Input/Output).
IP;Ver TCP/IP.
IP Address;Direccion de un ordenador dentro de una red con protocolo TCP/IP (4 numeros de 0 a 255, separados por puntos, ej;194.179.5.205).
IR;Abreviatura de Infrarrojo (Infra Red).
IRC;Charla (escrita, no por viva voz) en tiempo real entre varias personas en Internet (Internet Relay Chat).
IRQ;Solicitud de interrupcion (Interrupt ReQuest).
ISA;Tipo de arquitectura estandar de placas base, con ranuras de ampliacion de 8 y 16 bits (Industry Standard Architectecture).
ISDN;Red Digital de Servicios Integrados o RDSI (Integrated Services Digital Network).
ISP;Proveedor de servicios de Internet (Internet Services Provider).
i386;Otro nombre dado al procesador 80386.
i486;Otro nombre dado al procesador 80486.
Java;Lenguaje de programacion orientado a objetos, basado en C++, cada dia mas extendido, especialmente a traves de Internet. Pretende ser un lenguaje totalmente portable entre distintos ordenadores, gracias a que no se compila a codigo maquina,sino a un lenguaje intermedio que luego es interpretado por la "maquina virtual Java", que si es especifica de cada plataforma. Esto le da una velocidad ligeramente inferior a la de los programas realizados en otros lenguajes compilados, como C++, a cambio de una mayor portabilidad (aparte de las mejoras que el lenguaje en si incorpora sobre otros como C++).
JAZ;Unidad de almacenamiento parecida a un diskette, pero con una capacidad de 1 Gb y de 2 Gb (segun modelo) creada por Iomega.
JDK;Java Development Kit, un conjunto de aplicaciones que se utiliza para crear aplicaciones en lenguaje Java.
JFC;Java Foundation Classes, una serie de funciones ya creadas para que se puedan utilizar al crear programas en lenguaje Java.
Joystick;Palanca de control utilizada en muchos juegos.
JPEG, JPG;Es la Extension que corresponde a un tipo de fichero grafico de mapa de bits. Es un formato comprimido, que, al contrario que la mayoria, pierde definicion al comprimir;se puede indicar la cantidad de compresion que se desea, pero cuanto mas comprimamos, mayor perdida de calidad tiene la imagen. Para fotografias digitalizadas con 640x480 puntos o mas, un nivel de compresion entre 15 y 25 suele ser suficiente para reducir mucho el espacio ocupado por la imagen, pero a la vez que la perdida de calidad no sea muy apreciable. (Joint Picture Expert Group).
JVM;Maquina Virtual Java (Java Virtual Machine).
K;Abreviatura de KiloByte.
Kb;Abreviatura de KiloByte.
Kbps;Miles de bps.
Kernel;nucleo de un sistema operativo.
KiloByte;Multiplo del byte;un kilobyte son 1.024 bytes.
K5;Procesador realizado por AMD, intermedio entre el 486 y el Pentium de Intel.
K6;Procesador realizado por AMD, similar al Pentium creado por Intel y compatible con las instrucciones de la familia 80x86. Existe una version mejorada, llamada K6-2, que incorpora una serie de instrucciones nuevas, destinadas a mejorar el rendimiento en 3D. La ultima version de esta gama ha sido el K6-3.
K7;Procesador realizado por AMD, posterior a la gama K6, y cuyo nombre definitivo en el mercado ha sido Athlon.
LAN;Red de area local (Local Area Network).
Laptop;Ordenador portatil en el que se levanta una tapa que alberga la pantalla, y en la parte inferior queda el teclado y la circuiteria interna
Laser;tipo de impresora se suele basar en un mecanismo muy similar al de las fotocopiadoras. La base de su funcionamiento suele ser;un elemento fotoconductor (que conduce la electricidad cuando recibe la luz, normalmente llamado "tambor") se carga electricamente para que pueda atraer a la tinta en polvo (toner). Mediante espejos y lentes (en las fotocopiadoras convencionales) o mediante un laser (o una barra de LEDs, en ciertas impresoras y/o copiadoras digitales) se descarga el fotoconductor en ciertas zonas, conformando lo que sera la imagen a imprimir (una imagen "latente", no visible, formada por cargas electricas). En estas zonas cargadas del fotoconductor se deposita la tinta en polvo (toner), desde donde despues se transfiere al papel, en el que se fija mediante calor y/o presion.
LCD;Pantalla de cristal liquido (Liquid Crystal Display).
LED;Diodo emisor de luz (Light Emitting Diode).
Lenguaje de programacion;ver Programa.
Lenguaje maquina;ver Codigo Maquina.
LILO;Cargador de Linux (LInux LOader). Es un programa que se instala en el MBR del disco duro y que permite elegir entre disintos sistemas operativos que se encuentren instalados en distintas particiones del disco duro.
Linux;Version de libre distribucion (gratis) del sistema operativo Unix, desarollada por Linus Torvalds, con contribuciones de programadores de todo el mundo.
LISP;Lenguaje de programacion muy usado en Inteligencia Articial.
Logo;Lenguaje de programacion, que durante un tiempo se considero el mas adecuado para introducir en la informatica a ninyos de corta edad.
Lotus;Conocida casa de software, creadora de programas como 1-2-3, Ami Pro, WordPro, Freelance, Notes, etc.
LPT;nombre que reciben bajo DOS los puertos paralelo (para conectar impresoras). Lo habitual es que un ordenador tenga un puerto de este tipo, que se designaria LPT1.
LZH;Extension de ficheros comprimidos. El compresor correspondiente es LHA o LHARC.
Mac:Ver Macintosh.
MacOS;Sistema operativo de los ordenadores Apple Macintosh.
Macintosh;Conocida gama de ordenadores realizada por Apple, inicialmente basada en procesadores de la serie 68000 de Motorola, y hoy en dia en procesadores PowerPC.
Mainboard;En ingles, placa base.
Margarita;tipo de impresora cuyo funcionamiento se basa en el mismo sistema que el de las maquinas de escribir;unos "petalos" (de ahi el nombre) tienen dibujados las letras y los simbolos. Estos petalos golpean una cinta entintada, lo que hace que aparezca el texto sobre el papel. Hoy en dia estan en desuso porque son lentas, ruidosas y no permiten dibujar ni emplear distintos tipos y tamanyos de letra (salvo que se cambie toda la margarita).
Matricial;(o "de agujas") tipo de impresora cuyo funcionamiento se basa en unas agujas que golpean una cinta entintada, lo que hace que aparezcan sobre el papel unos puntos, que forman las imagenes o el texto.
Matrox;Conocido fabricante de tarjetas graficas. Tiene gamas muy conocidas, como la Millenium, Mystique y la Productiva.
Mb;Abreviatura de MegaByte.
Mbps;Millones de bps.
MBR;Master Boot Record, sector de arranque del disco duro.
MCA;Abreviatura de Microchannel Architecture.
MCGA;Adaptador grafico multicolor (MultiColor Graphics Adapter). Tarjeta grafica de ordenadores PC y compatibles, evolucion de la EGA, que permitia trabajar tambien a 256 colores con 320x200 puntos, y en blanco y negro con 640x480 puntos.
MDB;Extension de los ficheros creados con Access.
Megabyte;Multiplo del byte;un megabyte son 1.024 KiloBytes, cerca de un millon de bytes.
Mendocino;Ver Pentium.
MFlops;Millones de operaciones en coma flotante (con numeros reales) por segundo, una medida de velocidad de ordenadores.
MFM;Sistema utilizado por muchos de los primeros discos duros disponibles en equipos compatibles PC y XT.
MHz;Megahertzios, es una medida de frecuencia (numero de veces que ocurre algo en un segundo). En el caso de los ordenadores, un equipo a 200 MHz sera capaz de dar 200 millones de pasos por segundo. En la velocidad real de trabajo no solo influyen los MHz, sino tambien la arquitectura del procesador (y el resto de los componentes); por ejemplo, dentro de la serie X86, un Pentium a 60 MHz era cerca del doble de rapido que un 486 a 66 MHz.
Micro;en informatica se suele usar como abreviatura de Microprocesador.
Microchannel (o MCA);Tipo de arquitectura estandar de placas base,  basada en ISA, con ranuras de ampliacion de 32 bits, desarrollada por IBM y hoy en dia abandonada.
Microprocesador;ver Procesador.
Microsoft;Casa desarrolladora de software, creadora de sistemas operativos como MsDos y Windows, asi como de aplicaciones informaticas de todo tipo.
MID;Extension que corresponde a un tipo de ficheros de sonido (habitual en Windows).
MIDI;Conexion normalizada para instrumentos musicales (Musical Instruments Device Interface).
Minix;Version del sistema operativo UNIX desarrollada con fines educativos por el profesor Andrew Tannenbaum.
MIPS;Millones de instrucciones por segundo, una medida de velocidad de ordenadores // MIPS;familia de procesadores de tipo RISC, que equipan muchas estaciones de trabajo, como las de Silicon Graphics.
MMX;MultiMedia eXtensions, conjunto de nuevas instrucciones anyadidas a la gama alta de los procesadores Pentium, con la intencion de acelerar las operaciones mas frecuentes en multimedia.
MOD;Extension que corresponde a un tipo de ficheros de sonido.
Modem;Aparato que permite a un ordenador enviar y recibir informacion por telefono (MOdulador-DEModulador).
Modula-2;Lenguaje de programacion estructurado y modular.
Monitor;ver pantalla.
Motorola;Conocido fabricante de procesadores, autor de la serie 68000 que equipaba los primeros ordenadores Macintosh de Apple, y coautor de los PowerPC que equipan los PowerMac.
Mouse;raton, en ingles.
MPEG;Formato de video comprimido para ordenador (Motion Pictures Expert Group).
MP3;Formato de audio comprimido para ordenador, un subformato del MPEG (MPEG-1 Layer 3).
ms;milisegundos (milesimas de segundo), unidad usada para medir tiempos de acceso.
MsDos;Ver DOS.
MSX;Gama de ordenadores desarrollados por diversas casas (como Sony, Philips, Toshiba, Spectravideo, etc.) a mediados-finales de los anyos 80, siguiendo un estandar comun. Estaban basados en el procesador Z80. Tenian capacidad de realizar graficos con 16 colores, sonido estereo, memoria entre 32 y 128K. Posteriormente surgio una version mejorada, denominada MSX2.
Multimedia;Se tiende cada vez mas a que los ordenadores no sean solo capaces de manejar informacion en forma de texto, sino tambien imagenes de gran tamanyo y colorido, o incluso sonidos y secuencias de video. Esta capacidad es lo que se conoce como Multimedia.
Multitarea;Es cuando un ordenador es capaz de realizar mas de una tarea a la vez. Puede ser en paralelo (si tiene mas de un procesador) o concurrente (si solo tiene uno).
Netscape;Casa desarrolladora de software, creadora de programas como el conocido navegador de internet Navigator, que ahora se distribuye junto con otras utilidades (como Messenger, para el correo electronico, Collabra para los grupos de noticias y Composer para la creacion de paginas Web) bajo el nombre de Communicator.
News;Uno de los servicios que ofrece Internet. Se trata de un foro de discusion abierta, formado por distintos grupos de noticias tematicos, en los que cualquiera puede escribir mensajes publicos y leer los existentes.
NFS;Sistema de archivos de red (Network file System), un sistema de archivos que permite a un ordenador "montar" directorios y sistemas de archivo remotos, de otro(s) ordenador(es) de la red.
NMI;Interrupcion no enmascarable. Es la entrada de una interrupcion que tiene la maxima prioridad y que siempre es aceptada por el procesador.
Nodo;un ordenador en una red.
Notebook;ordenador portatil (laptop) cuyo tamanyo cerrado es similar a un A4.
ns;nanosegundos (milesimas de millonesimas de segundo), unidad usada para medir tiempos de acceso.
NT;Version de Windows disenyada para entornos profesionales.
Number Nine;Conocido fabricante de tarjetas graficas.
Oberon;Lenguaje de programacion orientado a objetos.
Objective C;Lenguaje de programacion orientado a objetos basado en el lenguaje C.
Oce;Conocido fabricante de plotters, copiadoras e impresoras.
OCR;Aplicacion informatica que trata de convertir a texto las imagenes adquiridas con un scanner (reconocimiento optico de caracteres).
Octal;sistema de numeracion en base 8. Se emplean las cifras del 0 al 7, y cada posicion de un numero indica una potencia de 8. Por ejemplo, el numero decimal 101 convertido a octal quedaria 145 (1x64 + 4x8 + 5x1).
Office;Suite realizada por Microsoft, que incluye aplicaciones como Word, Excel, Outlook (y opcionalmente otras como Access o Publisher).
Olivetti;Conocido fabricante de ordenadores, impresoras, maquinas de escribir, etc.
OOP;Programacion Orientada a Objetos o POO (Object Oriented Programming).
OpenLinux;Version del sistema operativo Linux, recopilada por Caldera.
ORB;Agente de Peticion de Objeto (Object Request Broker). La idea basica es la siguiente;en una aplicacion cliente/servidor, los servicios a los que accedemos pueden no estar disponibles siempre en un mismo servidor, de modo que estos servicios se solicitan a un agente, que es el que realmente conecta a la aplicacion cliente con la aplicacion servidor, sin que la aplicacion cliente necesite saber donde estan ubicados fisicamente estos servicios.
Organizer;Organizador personal realizado por Lotus.
OS;Abreviatura de Operating Sistem (Sistema Operativo).
OSI;Modelo para la interconexion de sistemas abiertos (Open Systems Interconnection). Es un modelo teorico de conexion de sistemas, estructurado en 7 capas (fisica, enlace, red, transporte, sesion, presentacion y aplicacion).
OS/2;Sistema operativo multitarea de IBM creado para ordenadores PC, hoy en dia en desuso.
OS/400;Sistema operativo multitarea y multiusuario creado por IBM para sus sistemas AS/400.
Outlook;Organizador personal realizado por Microsoft.  
Palmtop;ordenador portatil (laptop) cuyo tamanyo cerrado es similar al de la palma de la mano.
Pantalla;La pantalla (o monitor) es el dispositivo encargado de mostrar la informacion mientras trabajamos con el ordenador. Hoy en dia es habitual que las pantallas sean de color, aunque todavia se pueden encontrar pantallas monocromas;de fosforo verde, ambar o blanco. Su tamanyo se suele indicar en pulgadas; por ejemplo una pantalla de 15" tiene una diagonal de 15 · 2,54 = 38 cm.
Paradox;Gestor de bases de datos, realizado por Borland.
Paralelo;En una comunicacion paralelo, los bits de informacion que forman un byte se envian todos a la vez, por hilos distintos. Esto permite mayor velocidad que en una conexion serie, aunque a veces es a cambio de que la conexion sea unidireccional, o bidireccional mas rapida en un sentido que en el otro. // Paralelo;se habla de procesamiento paralelo cuando un ordenador es capaz de realizar mas de una tarea a la vez gracias a que posee varios procesadores entre los que repartir el trabajo.
Pascal;Lenguaje de programacion estructurado, de proposito general.
Password;Clave de acceso o contrasenya necesario para acceder a un determinado sistema.
Patch;"Parche" que se aplica a un programa, normalmente con la intencion de corregir algun "bug".
PC;Ordenador personal (Personal Computer). Esta abreviatura proviene del IBM Personal Computer, creado por la casa IBM a principios de los 80. El PC original trabajaba con un procesador8086 a 4,77 Mhz y 64 Kb de memoria. Desde entonces es frecuente hablar de los "PC" como los ordenadores compatibles con el IBM PC original (capaces de usar cualquier programa que fuera disenyado para aquel), basados en procesadores de la serie X86 de Intel.
PCB;Placa de circuito impreso (Printed Circuit Board).
PCI;Tipo de arquitectura estandar de placas base, con ranuras de ampliacion de 32 o 64 bits, usada en los equipos con procesador Pentium y superiores (y algunos 486). Es la abreviatura de Peripheral Component Interconnection.
PCMCIA;Estandar en ranuras de ampliacion para ordenadores portatiles (Personal Computer Memory Card International Association).
PCX;Es la Extension que corresponde a un tipo de fichero grafico de mapa de bits.
PDA. Ordenador portatil de muy reducido tamanyo, disenyado como terminal de aquisicion de datos o como organizador personal (Personal Digital Assistant, asistente digital personal).
Pentium;Procesador de 32 bits realizado por Intel, evolucion del 80486 (y compatible con el y con toda la familia x86), con velocidades a partir de 60 MHz (hasta 233 Mhz en su version "normal", y por encima de 400 Mhz en versiones mejoradas como los Pentium II). Variantes;el Pentium MMX reconoce una serie de instrucciones nuevas, pensadas para acelerar las operaciones mas frecuentes en multimedia, y tenia velocidades de 133 a 233 MHz; el Pentium Pro es una version orientada al mercado mas profesional, y existen placas base que permiten montar varios de estos procesadores trabajando a la vez (en paralelo); el Pentium II es una mejora del MMX, que se "pincha" en una ranura especial (Slot 1) y tiene velocidades de 233 a 450 MHz; el Celeron es una variante mas barata del Pentium II, que no incorpora cache de primer nivel; el Mendocino es una variante mejorada del Celeron, que incorpora 128k de cache de primer nivel.
PerfectOffice;Suite realizada por Novell, que incluye aplicaciones como WordPerfect y Quattro Pro.
Periferico;Dispositivo auxiliar que se puede conectar a un ordenador (por ejemplo;una impresora).
Pixel;Es el elemento de menor tamanyo que forma una imagen ("un punto"). Abreviatura de Picture Element.
Placa base;Placa de circuito impreso en la que "se pinchan" la mayoria de los demas componentes de un ordenador.
Plotter;un tipo de impresora disenyado especialmente para trazar imagenes lineales. Los primeros usaban plumillas, pero hoy en dia van siendo cada vez mas frecuentes los de inyeccion, que tienen mayor facilidad para realizar dibujos no lineales y en multiples colores.
Plug and Play;Es una expresion que se podria traducir por "enchufar y listo". Hace referencia a sistemas operativos que sean capaces de detectar automaticamente los dispositivos que se les instalen (normalmente, los propios dispositivos tambien deberan cumplir ciertas condiciones).
PNG;Es la Extension que corresponde a un tipo de fichero grafico de mapa de bits (Portable Network Graphics).
PNP;Abreviatura de Plug and Play.
Polling;Ver Interrupcion.
POO;Programacion Orientada a Objetos, en espanyol (es mas frecuente ver las siglas en ingles;OOP).
Postscript;Un lenguaje grafico de descripcion de paginas, muy utilizado en impresoras de gama media y alta.
PowerMac;Ordenadores Macintosh de Apple de ultima generacion, basados en procesadores PowerPC.
Powerpoint;Aplicacion para crear presentaciones, realizada por Microsoft.
PPM;Paginas por minuto;es la unidad en que se mide la velocidad de impresion de las impresoras laser y en las de inyeccion de tinta.
PPP;Puntos por pulgada;una forma muy habitual de medir la resolucion (nivel de detalle) con que puede trabajar una impresora o un scanner  (en ingles, DPI) // PPP;Un protocolo estandar en Internet para conexiones a traves del puerto serie (Point-to-Point Protocol). Es mas reciente y robusto que SLIP.
Procesador;el "cerebro" del ordenador. Su velocidad de trabajo se mide en Megahertzios (MHz) y su capacidad de proceso por el numero de bits que es capaz de manejar a la vez (por ejemplo;32 bits, o 64 bits)..
Procesador de texto. Un tipo de aplicacion informatica que permite escribir textos de todo tipo, desde cartas hasta libros. Hoy en dia es frecuente que permitan usar distintos tipos de letra, incluir imagenes y tablas de datos, escribir en columnas, anyadir ecuaciones matematicas, etc.
Programa;un conjunto de ordenes para un ordenador. Cuando se trata de un programa ya terminado que se compra, se suele hablar de una Aplicacion Informatica. Los programas se deben escribir en un cierto lenguaje de programacion. Los lenguajes de programacion que se acercan mas al lenguaje humano que al del ordenador reciben el nombre de "lenguajes de alto nivel" (como Pascal); los que se acercan mas al ordenador son los de "bajo nivel" (como el ensamblador). Lo mas habitual es crear los programas en un lenguaje de alto nivel (llamado "fuente") y despues convertirlos al lenguaje propio del ordenador ("compilarlos" para obtener un "ejecutable").
PROM;Memoria ROM programable (Programmable ROM).
Protegido (modo);Los procesadores de la serie x86 de Intel tienen, a partir del modelo 80386, varios modos de trabajo, siendo los mas habituales el modo real y el modo protegido. En el modo real, el procesador trabaja como si fuera un 8086, con todas sus limtiaciones;no se puede acceder directamente a mas de 640K de memoria, y esta memoria esta dividida en bloques (segmentos) de 64K de tamanyo. En el modo protegido, se puede acceder a toda la memoria que realmente posee el ordenador, y ademas esta memoria esta disponible de forma lineal, sin estar dividida en segmentos. (Nota;tambien habia un modo protegido en los procesadores 80286, poco utilizado, y no compatible con el de los 80386 y superiores).
Protocolo;normas a seguir en una cierta comunicacion;formato de los datos que debe enviar el emisor, como debe ser cada una de las respuestas del receptor, etc.
Proxy;Software que permite a varios ordenadores acceder a Internet a traves de una unica conexion fisica. Segun lo avanzado que sea, puede permitir acceder a paginas Web, FTP, correo electronico, etc. Es frecuente que tambien incluyan otros servicios, como cortafuegos (FireWalls).
Pulgada;unidad del sistema ingles de longitud, equivalente a 2,54 cm.
Quattro;Aplicacion de hoja de calculo realizada por Borland.
RAM;Memoria de acceso directo (Random Access Memory). Normalmente se usa este nombre para referirse a memorias en las que se puede leer y tambien escribir (RWM). En los ultimos PC es habitual que se use Fast Page Ram (386 y anteriores), EDO Ram (486 y Pentium) y SDRAM (ultimos Pentium, Pentium MMX y superiores).
RAR;Extension de ficheros comprimidos. El compresor correspondiente es el RAR.
Raster;Tipo de imagen (ver BitMap).
Rasterizar;Convertir una imagen de vectorial a bitmap.
Raton;Dispositivo utilizado para comunicarse con el ordenador. Permite senyalar zonas de la pantalla, como modo de indicar al ordenador lo que deseamos hacer.
RDSI;Red Digital de Servicios Integrados;la red telefonica digital.
Real (modo);modo de trabajo de los procesadores 80x86 (ver protegido).
Red de ordenadores;Conjunto de ordenadores conectados entre si con el fin de compartir recursos (por ejemplo, impresoras) e informacion.
Red Hat;Una de las casas especializadas en realizar distribuciones de Linux.
Registro;En el mundo de las bases de datos, cada una de las fichas que componen una tabla.
Release;(en espanyol, "revision" o "version"). Es habitual que una aplicacion software sufra modificaciones, mejoras o correcciones. El numero de version suele indicar el avance de los cambios. Suelen ser numeros correlativos, y frecuentemente son dos cifras separadas por un punto. Por ejemplo, el paso de la version 2 a la 3 de una aplicacion suele conllevar cambios significativos, mientras que el paso de la 3.0 a la 3.1 indica cambios de menor importancia; el siguiente grupo de mejoras fuertes llevaria a la version 4.0. Hay quien afina mas, utilizando tres cifras en vez de dos;1.1.56. Algunos fabricantes usan el numero de anyo de lanzamiento (p.ej.;Office 97) en vez de numeros consecutivos.
Reset;ver arranque.
Revision;Ver release.
RGB;Descomposicion de colores en funcion de tres componentes basicos;rojo, verde y azul (Red, Green, Blue). Es la descomposicion habitual en las pantallas de ordenador. Se trata de colores aditivos;cuanto mayor es la cantidad de rojo, verde y azul, mas se aproxima el color resultante al blanco.
RISC;Un tipo de procesadores que reconoce un conjunto pequenyo de ordenes, pero que es capaz de responder a esas ordenes a una gran velocidad (opuesto a CISC).
RLL;Sistema utilizado por muchos de los primeros discos duros disponibles en equipos compatibles PC y XT.
RMI;Invocacion de metodos remotos (Remote Method Invocation), consiste en que un objeto acceda a un metodo (una de las funcionalidades) de otro objeto remoto (que este situado en otro punto de una red).
ROM;Memoria solo de lectura (Read Only Memory).
Root;Administrador de un sistema Unix.
RS232;Es una conexion serie normalizada, muy frecuente en ordenadores personales. Hay dos conectores normalizados, de 9 pins (DB9) y de 25 pins (DB25).
RTB;Red Telefonica Basica;la red telefonica convencional, analogica.
Run;Ver Ejecutar.
RWM;Memoria en la que se puede leer escribir (Read/Write Memory).
SB;Se suele usar como abreviatura de SoundBlaster.
Scanner;Dispositivo capaz de leer imagenes estaticas y enviarlas al ordenador. Desde el ordenador habra la posibilidad de imprimir estas imagenes, modificarlas, etc.
SCO;Santa Cruz Operation, casa desarrolladora de uno de los UNIX comerciales mas extendidos.
SCSI;Small Computer System Interface, una conexion estandar para diversos dispositivos como discos duros o scanners. Los discos duros SCSI suelen ser mas rapidos (y mas caros) que los IDE.
SDK;Kit de desarrollo de software, un conjunto de aplicaciones para desarrollar programas en un determinado lenguaje o para un determinado entorno (Software Development Kit).
SDRAM;Tipo de memoria RAM, utilizada en equipos PC de gama alta (Pentium II y superiores, ademas de algun Pentium "normal").
Serie;En una conexion serie, los bits de informacion se mandan uno tras otro. Esto hace que la comunicacion sea mas lenta que en la transmision paralelo.
Shareware;Aplicacion informatica que se puede copiar y distribuir libremente. Se trata de una version de evaluacion, que suele estar limitada en algun aspecto. Si la aplicacion parece satisfactoria al usuario que la prueba, debe entonces pagar al autor, y a cambio recibe una version de la aplicacion sin ninguna limitacion.
SIMM;Tipo de modulo de memoria RAM (Single In-line Memory Module).
Sinclair;Casa fabricante de ordenadores, hoy desaparecida, que tuvo una epoca de auge con los primeros ordenadores domesticos, especialmente con su modelo ZX Spectrum. Fue tambien autora de otros modelos anteriores, como el ZX 80 o el ZX81 y posteriores (pero con menos exito) como el QL.
SIPP;Tipo de modulo de memoria RAM (anticuado, usado en algun 286).
Sistema operativo;Es una capa intermedia entre el ordenador y el usuario. Se podria considerar como un programa (normalmente de gran tamanyo) que toma el control del ordenador y que nos proporciona las utilidades basicas. Para usos mas avanzados, necesitaremos instalar aplicaciones informaticas como bases de datos, hojas de calculo, programas a medida, etc.
SLIP;Un protocolo estandar en Internet para conexiones a traves del puerto serie (Serial Line Internet Protocol).
SmallTalk;Lenguaje de programacion orientado a objetos.
SmartSuite;Suite realizada por Lotus, que incluye aplicaciones como WordPro, 1-2-3 y Organizer.
Software;La parte "que no se puede tocar" de un ordenador;los programas y los datos.
SoHo;Se suele hablar de entornos SoHo para referirse a entornos domesticos o de pequenya empresa, en los que se puedan necesitar equipos de una potencia relativamente baja (Small Office - Home Office).
Solaris;Version del sistema operativo Unix, desarollada por Sun.
Sound Blaster;Una de las marcas de tarjetas de sonido mas conocidas. Corresponde a toda una gama creada por la casa Creative Labs.
Spectrum;Gama de ordenadores desarrollados por Sinclair diversas casas (como Sony, Philips, Toshiba, Spectravideo, etc.) a mediados de los anyos 80. Estaban basados en el procesador Z80, con 16 o 48k de memoria (las primeras versiones), capacidad de realizar graficos con 8 colores a 256x186 puntos y de emitir sonidos, y se podian conectar a cualquier television. Posteriormente se desarrollaron versiones mejoradas, con teclados mas comodos (Spectrum + -Plus-), unidad de cinta incorporada (Spectrum +2) o unidad de disco de 3" y 178K, memoria ampliada a 128 K y otras mejoras internas (Spectrum +3).
Spooler;Ver Buffer.
SQL;Un lenguaje estandar de consulta a bases de datos (Structured Query Language).
SRAM;Memoria RAM estatica.
SSL;Capa de conexion segura (Secure Sockets Layer).
StarOffice;Suite realizada por StarDivision, hoy propiedad de Sun, que incluye aplicaciones de proceso de textos, hoja de calculo, base de datos, dibujo, presentaciones, y que esta disponible para diversos sistemas operativos..
Streamer;lector/grabador de cintas magneticas especiales para ordenador. Permiten una capacidad elevada a un bajo precio, pero son mas lentos que otros dispositivos como los diskettes, CD-Rom, o disco duro.
Subir;Ver Bajar.
Subnotebook;ordenador portatil (laptop) de dimensiones inferiores a un A4.
Suite;Conjunto de programas disenyados para trabajar juntos. En espanyol se suele llamar "Paquete Integrado". Es frecuente que incluyan un procesador de texto, una hoja de calculo, un organizador personal, y pueden tener otros modulos, como gestores de bases de datos, programas de graficos o presentaciones, etc.
Sun;casa de desarrolladora de hardware y software, que ha tenido un gran auge ultimamente debido a la creacion del lenguaje Java.
SuperVGA;Ver SVGA.
Suse;Una de las casas especializadas en realizar distribuciones de Linux.
SVGA;SuperVGA. Tarjetas graficas de ordenadores PC y compatibles, evolucion de la VGA. Suelen permitir trabajar a 800x600, 1024x768 y 1280x1024 puntos, con 256 colores (8 bits), 65536 colores (16 bits), 16 millones de colores (24 bits) o 4.000 millones de colores (32 bits, "color autentico" o "true color"), dependiendo de la cantidad de memoria instalada.
SX;Variante de los procesadores 80386 y 80486.
S3M;Extension que corresponde a un tipo de ficheros de sonido.
Tabla;En el mundo de las bases de datos, un conjunto de registros (fichas) que tienen una cierta homogeneidad (por ejemplo, los datos de nuestros proveedores podrian estar almacenados en una misma tabla).
Tambor;Uno de los componentes de muchas impresoras laser y copiadoras (para mas detalles, ver Laser).
Tb;Abreviatura de TeraByte.
TCP/IP;Protocolo de comunicaciones estandar en Internet (Transmission Control Protocol/Internet Protocol).
Tarjeta de sonido;Dispositivo que da al ordenador la capacidad de sintetizar y emitir sonidos, asi como de capturarlos. Es frecuente que un ordenador que no tenga tarjeta de sonido disponga al menos de un pequenyo altavoz, que se puede controlar directamente desde el procesador para emitir sonidos de baja calidad.
Tarjeta grafica;Dispositivo que da al ordenador la capacidad mostrar imagenes en pantalla. Las prestaciones de una tarjeta grafica suelen depender de la cantidad de puntos y de colores que es capaz de mostrar, de su rapidez, y de la cantidad de memoria de que dispone (a mayor cantidad de memoria, sera capaz de mostrar imagenes con mas puntos y/o mas colores). La tarjeta grafica debe ir en consonancia con la pantalla o monitor. Por ejemplo, una pantalla que solo permita mostrar 800x600 puntos o menos, no podra sacar todo el partido a una tarjeta que alcance los 1024x768 puntos. Las mas frecuentes en los PC han sido, de mas antigua a mas moderna;Hercules, CGA, EGA, MCGA, VGA, SVGA.
Telnet;Uno de los servicios que ofrece Internet;es la posibilidad de acceder remotamente a otro ordenador de la Red, y trabajar desde nuestra pantalla como si estuviesemos realmente tecleando delante de ese ordenador.
Terabyte;Multiplo del byte;un terabyte son 1.024 GigaBytes, cerca de un billon (un millon de millones) de bytes.
TFT;Tipo de pantalla LCD en color para ordenadores portatiles. Ofrece mas contraste y mejor angulo de vision que las Dual Scan, pero es mas cara (Thin Film Transistor).
TIF;Es la Extension que corresponde a un tipo de fichero grafico de mapa de bits;el formato TIFF.
TIFF;Uno de los tipos de fichero grafico de mapa de bits mas extendidos, incluso entre ordenadores de muy distintos tipos (Tagged Image File Format).
Toner;La tinta en polvo que suelen usar las impresoras laser y copiadoras (para mas detalles, ver Laser).
Turbo C++; Compilador de lenguaje C++, desarrollado por Borland.
Turbo Pascal; Compilador de lenguaje Pascal, desarrollado por Borland.
UC2;Extension de ficheros comprimidos. El compresor correspondiente es el Ultra Compressor (UC).
Unix;Sistema operativo multitarea y multiusuario.
Upload;Ver Bajar.
